Lane,Name,Winning rate,Pick rate,
Top,Yasuo,50.93,2.14,
Top,Fiora,50.31,5.2,
Top,Graves,50.21,0.14,
Top,Fiddlesticks,51.77,1.25,
Top,Rengar,50.26,1.11,
Top,Vayne,50.12,3.12,
Top,Zac,50.92,1.18,
Top,Kayn,50.19,0.91,
Top,Draven,50.21,0.07,
Top,Kled,50.42,1.2,
Top,Cassiopeia,51.69,0.5,
Top,Zilean,51.53,0.09,
Top,Camille,48.98,1.2,
Top,Sion,52.47,0.46,
Top,Diana,48.75,0.16,
Top,Karthus,49.45,0.05,
Top,Kalista,48.2,0.58,
Top,Singed,50.05,1.21,
Top,Urgot,50.95,1.39,
Top,Shaco,49.09,0.33,
Top,Shyvana,50.81,0.5,
Top,Hecarim,49.58,0.41,
Top,Rumble,49.94,0.52,
Top,Annie,52.48,0.11,
Top,Nocturne,50.4,0.36,
Top,Quinn,51.13,1.95,
Top,Tryndamere,49.53,1.73,
Top,Wukong,48.49,2.7,
Top,Teemo,50.2,7.42,
Top,Yorick,51.27,2.22,
Top,Maokai,49.75,4.39,
Top,Skarner,53.04,0.05,
Top,Kha'Zix,46.23,0.06,
Top,Shen,49.39,2.06,
Top,Jax,48.41,4.07,
Top,Garen,49.94,18.19,
Top,Zed,48.02,0.22,
Top,Lissandra,49.22,0.07,
Top,Heimerdinger,49.24,1.52,
Top,Sett,45.44,8.35,
Top,Irelia,46.67,5.16,
Top,Darius,48.54,12.61,
Top,Jayce,48.35,1.65,
Top,Azir,48.7,0.03,
Top,Renekton,45.68,12.92,
Top,Master Yi,47.74,0.68,
Top,Veigar,48.83,0.22,
Top,Malzahar,49.68,0.18,
Top,illaoi,49.75,4.85,
Top,Aatrox,46.51,7.53,
Top,Riven,47.04,2.02,
Top,Nasus,49.87,4.48,
Top,Vladimir,46.82,2.81,
Top,Warwick,48.85,0.49,
Top,Poppy,47.16,1.82,
Top,Kassadin,45.41,0.22,
Top,Lulu,42.78,0.11,
Top,Neeko,68.6,0.38,
Top,Ornn,49.52,9.77,
Top,Viktor,48.84,0.09,
Top,Gnar,48.34,1.22,
Top,Galio,46.7,0.19,
Top,Tahm Kench,47.14,0.49,
Top,Lucian,45.39,1.56,
Top,Xin Zhao,47.28,0.2,
Top,Dr. Mundo,49.61,2.77,
Top,Twisted Fate,42.68,0.14,
Top,Rammus,48.78,0.29,
Top,Mordekaiser,47.68,12.07,
