Lane,Name,Winning rate,Pick rate
Top,Sett,51.54,7.42
Top,Wukong,52.55,2.89
Top,Rengar,52.2,0.9
Top,Fiora,51.28,6.79
Top,Fiddlesticks,52.92,0.94
Top,Zac,53.13,0.51
Top,Graves,51.06,0.21
Top,Jax,50.83,6.26
Top,Darius,50.91,10.91
Top,Singed,54.09,1.86
Top,Maokai,52.14,3.47
Top,Shen,51.91,5.02
Top,Mordekaiser,51.53,9.58
Top,Garen,53.41,13.77
Top,Kled,52.05,1.83
Top,Cassiopeia,51.7,0.52
Top,Yasuo,50.74,2.69
Top,Urgot,54.35,6.37
Top,Vayne,50.23,2.84
Top,Tryndamere,50.91,5.63
Top,Olaf,50.46,1.14
Top,Shyvana,52.57,0.42
Top,Kayn,51.14,0.91
Top,Teemo,52.84,7.37
Top,Malphite,52.22,5.44
Top,Ornn,51.27,5.06
Top,Nocturne,53.95,0.38
Top,Sion,52.84,1.7
Top,Karma,50.26,0.29
Top,Quinn,52.25,2.41
Top,Yorick,53.5,3.22
Top,Zilean,51.8,0.06
Top,Camille,49.05,2.06
Top,Shaco,50.71,0.23
Top,Nasus,53.61,8.48
Top,Illaoi,52.14,4.45
Top,Tahm Kench,50.01,0.73
Top,Heimerdinger,50.87,0.77
Top,Diana,50.13,0.19
Top,Renekton,49.48,8.06
Top,Aatrox,48.87,4.92
Top,Dr. Mundo,53.13,2.89
Top,Twisted Fate,47.78,0.1
Top,Kalista,47.45,0.31
Top,Poppy,49.57,2.2
Top,Annie,51.39,0.12
Top,Hecarim,49.58,0.44
Top,Galio,49.73,0.21
Top,Kayle,51.46,2.67
Top,Kassadin,48.16,0.17
Top,Malzahar,50.98,0.21
Top,Neeko,51.51,0.29
Top,Jayce,47.93,1.54
Top,Riven,48.74,2.95
Top,Pantheon,47.26,0.84
Top,Irelia,47.19,5.04
Top,Karthus,45.92,0.04
Top,Lucian,47.59,0.94
Top,Corki,49.25,0.06
Top,Trundle,50.59,0.92
Top,Sylas,47.72,1.69
Top,Soraka,49.79,0.17
Top,Rammus,51.36,0.15
